language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index
TypeScript,False,,,71487058,MDEwOlJlcG9zaXRvcnk3MTQ4NzA1OA==,table,TanStack/table,https://github.com/TanStack/table,"🤖 Headless UI for building powerful tables & datagrids for TS/JS -  React-Table, Vue-Table, Solid-Table, Svelte-Table",TypeScript,27935,27935,3482,388,False,False,True,False,2016-10-20T17:25:08Z,2026-04-28T14:31:24Z,2026-04-28T18:32:31Z,alpha,TanStack,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,196
TypeScript,False,,,912559512,R_kgDONmSNmA,sim,simstudioai/sim,https://github.com/simstudioai/sim,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.",TypeScript,27896,27896,3531,199,False,False,True,False,2025-01-05T22:47:49Z,2026-04-28T18:07:58Z,2026-04-28T18:24:00Z,main,simstudioai,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,197
TypeScript,False,,,190729906,MDEwOlJlcG9zaXRvcnkxOTA3Mjk5MDY=,budibase,Budibase/budibase,https://github.com/Budibase/budibase,"AI agents, automations and apps that run your operations. Model agnostic.",TypeScript,27879,27879,2138,264,False,False,True,False,2019-06-07T11:03:41Z,2026-04-28T13:33:24Z,2026-04-28T17:33:55Z,master,Budibase,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,198
TypeScript,False,,,605673387,R_kgDOJBnXqw,FastGPT,labring/FastGPT,https://github.com/labring/FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",TypeScript,27864,27864,7063,173,False,False,True,False,2023-02-23T16:53:25Z,2026-04-28T14:55:36Z,2026-04-28T14:44:51Z,main,labring,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,199
TypeScript,False,,,931352845,R_kgDON4NRDQ,prompt-optimizer,linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,An AI prompt optimizer for writing better prompts and getting better AI results.,TypeScript,27380,27380,3233,27,False,False,True,False,2025-02-12T06:06:49Z,2026-04-28T18:10:20Z,2026-04-27T14:27:44Z,develop,linshenkx,User,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,200
TypeScript,False,,,281319253,MDEwOlJlcG9zaXRvcnkyODEzMTkyNTM=,element-plus,element-plus/element-plus,https://github.com/element-plus/element-plus,🎉 A Vue.js 3 UI Library made by Element team,TypeScript,27369,27369,19895,1243,False,False,True,False,2020-07-21T06:51:19Z,2026-04-28T13:13:53Z,2026-04-28T13:19:41Z,dev,element-plus,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,201
TypeScript,False,,,192640529,MDEwOlJlcG9zaXRvcnkxOTI2NDA1Mjk=,label-studio,HumanSignal/label-studio,https://github.com/HumanSignal/label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,TypeScript,27163,27163,3506,871,False,False,True,False,2019-06-19T02:00:44Z,2026-04-28T16:51:06Z,2026-04-28T00:24:24Z,develop,HumanSignal,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,202
TypeScript,False,,,525592995,R_kgDOH1Ppow,InvokeAI,invoke-ai/InvokeAI,https://github.com/invoke-ai/InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.",TypeScript,27068,27068,2810,402,False,False,True,False,2022-08-17T01:04:27Z,2026-04-28T16:32:15Z,2026-04-27T21:35:23Z,main,invoke-ai,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,203
TypeScript,False,,,40345658,MDEwOlJlcG9zaXRvcnk0MDM0NTY1OA==,recharts,recharts/recharts,https://github.com/recharts/recharts,Redefined chart library built with React and D3,TypeScript,27061,27061,1910,449,False,False,True,False,2015-08-07T06:50:27Z,2026-04-28T16:00:46Z,2026-04-28T15:46:57Z,main,recharts,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,204
TypeScript,False,,,36891867,MDEwOlJlcG9zaXRvcnkzNjg5MTg2Nw==,angular-cli,angular/angular-cli,https://github.com/angular/angular-cli,CLI tool for Angular,TypeScript,27039,27039,11872,298,False,False,True,False,2015-06-04T19:49:37Z,2026-04-28T17:53:11Z,2026-04-28T17:53:05Z,main,angular,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,205
TypeScript,False,,,30638861,MDEwOlJlcG9zaXRvcnkzMDYzODg2MQ==,fingerprintjs,fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,The most advanced free and open-source browser fingerprinting library,TypeScript,27010,27010,2518,14,False,False,True,False,2015-02-11T08:49:54Z,2026-04-28T11:05:16Z,2026-04-14T08:12:18Z,master,fingerprintjs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,206
