repository_full_name,language_group,exclusion_reason,pre_sampling_exclusion_reasons,source_file,source_record_index
krisk/Fuse,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,176
krisk/Fuse,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,176
camsong/You-Dont-Need-jQuery,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,177
camsong/You-Dont-Need-jQuery,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,177
Popmotion/popmotion,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,178
Popmotion/popmotion,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,178
Popmotion/popmotion,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,178
enzymejs/enzyme,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,180
segment-boneyard/nightmare,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,181
segment-boneyard/nightmare,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,181
testing-library/react-testing-library,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,183
FredKSchott/snowpack,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,185
FredKSchott/snowpack,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,185
jorgebucaran/hyperapp,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,187
jorgebucaran/hyperapp,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,187
